Gene_ID	sp1	sp3
Fndc3c1	1	1
Fndc4	1	1
Fndc5	0	0
Folr1	0	0
Fos	1	1
Fosb	1	1
Fosl2	1	1
Foxd3	0	0
Foxf1	1	1
Foxh1	0	0
Foxi3	1	1
Foxj2	1	1
Foxk1	1	1
Foxn4	1	1
Foxo1	1	1
Foxo4	1	1
Foxp1	0	1
Foxr2	0	0
Frat1	0	1
Frem1	0	0
Frmd4a	0	1
Frmd4b	0	1
Frmd6	1	1
Frrs1	0	1
Fry	1	1
Frzb	1	1
Fscn1	1	1
Fsd1	0	1
Fsd1l	0	1
Fst	0	1
Fstl1	1	1
Fstl4	0	1
Furin	0	1
Fut10	0	1
Fut11	1	1
Fut4	0	1
Fut9	0	1
Fv1	0	0
Fxyd1	1	1
Fzd1	0	1
Fzd2	1	1
Fzd3	0	1
Fzd4	1	1
Fzd5	1	1
Fzd7	1	1
G3bp2	1	1
G6pc3	1	1
Gab1	1	1
Gabarapl1	0	0
Gabarapl2	1	1
Gabre	1	1
Gad2	0	1
Gadd45a	0	1
Gadd45b	1	1
Gadd45g	1	1
Galc	1	1
Gale	1	1
Galk1	1	1
Galnt1	1	1
Galnt10	1	1
Galnt6	0	1
Galnt7	1	1
Gamt	1	1
Gap43	0	0
Gas1	1	1
Gata1	0	0
Gata2	0	0
Gata3	1	1
Gata4	0	1
Gata6	0	1
Gatsl3	1	1
Gbgt1	0	0
Gbp2	0	0
Gbp2b	0	0
Gbp3	0	0
Gbx2	1	1
Gca	1	1
Gchfr	0	1
Gclm	1	1
Gcnt1	1	1
Gcnt2	1	1
Gdf3	1	1
Gem	0	1
Gfi1b	0	0
Gfra1	0	1
Gfra2	0	1
Ggact	0	1
Ggct	0	0
Ggh	1	1
Ggt1	1	1
Ggta1	1	1
Gid8	0	0
Gimap9	0	1
Gin1	1	1
Gjb1	0	0
Gjb2	0	1
Gjb3	0	0
Gk5	1	1
Glb1	0	0
Gldc	1	1
Gli1	1	1
Gli2	0	1
Gli3	1	1
Glis1	1	1
Glod5	0	0
Glrx	0	0
Glrx5	0	0
Gls2	1	1
Glt8d1	0	0
Gltp	1	1
Gltscr1	0	0
Gltscr1l	0	0
Glud1	1	1
Gm10324	0	0
Gm11744	0	0
Gm11837	0	1
Gm12794	0	0
Gm12942	0	0
Gm13051	0	0
Gm13119	0	0
Gm13139	0	0
Gm13152	0	0
Gm13154	0	0
Gm13157	0	0
Gm13212	1	1
Gm13242	0	0
Gm13247	0	0
Gm13251	0	0
Gm14124	0	1
Gm14139	0	1
Gm14322	1	1
Gm14325	1	1
Gm14393	0	1
Gm1564	0	0
Gm1673	1	1
Gm2016	0	0
Gm2022	0	0
Gm20767	0	0
Gm20939	1	1
Gm3336	0	1
Gm3604	1	1
Gm5617	0	1
Gm5662	0	0
Gm6792	0	0
Gm7325	0	1
Gm8300	0	0
Gm8994	0	0
Gm9112	0	0
Gmip	1	1
Gmppb	1	0
Gmpr	1	1
Gnao1	1	1
Gnas	1	1
Gnb4	1	1
Gne	0	1
Gng11	0	0
Gng12	1	1
Gng3	0	0
Gnl3l	1	1
Gnpda1	1	1
Golim4	1	1
Got1	1	1
Gpa33	0	0
Gpat2	0	1
Gpatch2l	1	1
Gpatch3	0	1
Gpc1	1	1
Gpc2	0	0
Gpc3	1	1
Gpc4	1	1
Gpc6	0	1
Gpd1l	1	1
Gpr160	1	1
Gpr52	0	0
Gprc5a	0	1
Gprc5c	1	1
Gpsm1	1	0
Gpx2	0	0
Gpx3	0	1
Gpx8	1	1
Gramd1b	0	1
Grap2	0	0
Grasp	1	1
Grb10	0	1
Grb14	1	1
Grb7	1	1
Grcc10	0	1
Greb1	0	1
Greb1l	1	1
Grhl1	1	1
Grhl2	0	1
Grhl3	1	1
Grid1	0	1
Grik5	0	0
Grin2c	0	1
Grina	1	1
Grip1	0	1
Grrp1	0	0
Grtp1	1	1
Gsc	0	1
Gsta3	0	0
Gsta4	1	1
Gstm1	1	1
Gstm2	0	0
Gstm3	1	1
Gstm6	1	1
Gstp2	0	0
Gstt1	1	1
Gstz1	1	1
Gtf2h1	0	0
Gtf3c6	1	1
Gtsf1	0	0
Gtsf1l	0	0
Gucd1	1	1
Gulp1	0	0
Gyg	0	1
Gypc	0	0
H1f0	0	0
H1fx	0	1
H2-Ab1	0	1
H2-M5	0	0
H2-Oa	1	0
H2-Q10	1	1
H2-T22	0	0
H2afy2	1	1
H60b	1	1
Hacd1	0	1
Hacd2	1	1
Hadhb	1	1
Haghl	1	1
Hand1	0	0
Hand2	0	1
Hap1	1	1
Hapln1	0	0
Has2	1	1
Hbb-bh1	0	0
Hck	1	1
Hdac10	0	1
Hdac5	0	0
Hdac6	1	1
Hdac7	0	1
Hdgfrp3	1	1
Heatr1	0	0
Heca	1	1
Heg1	0	1
Helb	1	1
Hells	0	1
Helz2	0	0
Heph	0	0
Hes1	1	1
Hesx1	0	0
Hexa	1	1
Hexb	1	1
Hexim1	1	1
Hey1	1	1
Hey2	1	1
Hgsnat	1	1
Hhex	0	1
Hist1h1e	1	1
Hist1h1t	0	0
Hist1h2aa	1	1
Hist1h2ab	1	1
Hist1h2ad	1	1
Hist1h2ae	1	1
Hist1h2ai	0	1
Hist1h2ak	0	0
Hist1h2ap	0	0
Hist1h2ba	1	1
Hist1h2bc	1	1
Hist1h2be	1	1
Hist1h2bg	0	0
Hist1h2bp	1	1
Hist1h3a	0	0
Hist1h3c	0	1
Hist1h3e	0	0
Hist1h3f	0	0
Hist1h3i	0	0
Hist1h4a	1	0
Hist1h4c	0	0
Hist1h4d	1	1
Hist1h4f	1	1
Hist1h4h	0	0
Hist1h4i	0	1
Hist1h4k	1	1
Hist1h4m	0	0
Hist2h2aa1	0	0
Hist2h4	0	0
Hist3h2ba	1	1
Hist3h2bb-ps	0	0
Hist4h4	0	0
Hivep2	0	1
Hltf	1	1
Hmces	1	1
Hmcn1	1	1
Hmg20a	1	1
Hmga2	1	1
Hmgb3	1	1
Hmgcll1	0	1
Hmgcs1	1	1
Hmgn2	1	1
Hmha1	1	0
Hmox1	1	1
Homer2	0	0
Hook1	1	1
Hook2	1	1
Hook3	1	1
Hopx	1	1
Hormad1	0	1
Hormad2	1	1
Hoxb1	0	1
Hoxb2	1	1
Hoxd1	0	1
Hoxd9	0	0
Hpcal1	1	1
Hpdl	1	1
Hr	0	1
Hs1bp3	1	1
Hs3st3b1	1	1
Hs6st1	1	1
