gene	E14_ES_fpkm	E14_flk_fpkm	E14_HE1_fpkm	E14_HE2_fpkm	E14_prog_fpkm	Sp1hyp_ES_fpkm	Sp1hyp_Flk_fpkm	Sp1hyp_HE1_fpkm	Sp1hyp_HE2_fpkm	Sp1hyp_prog_fpkm
Gstm4	1.774814067	1.89005925	1.697733317	1.836618717	2.206217033	1.17176415	1.08436755	0.76205695	1.32491405	1.910745533
Gstm5	7.569437017	13.5817953	7.496470517	7.194498267	9.271858967	2.45622775	6.646042017	2.506646017	2.303693317	5.455501083
Gstm6	1.959591633	0.164620833	0.107038792	0.0003658	0.071410992	1.369956867	0.057375433	0.001723592	0.036299583	0.007057617
Gstm7	0.791285117	1.844341083	1.399620133	1.448706767	1.0965458	0.415537617	1.162048483	0.9885062	1.323377733	0.456914517
Gsto1	23.97153903	23.25225828	44.2569283	49.19246913	38.9411364	18.00297747	13.56678257	38.51805703	16.7036174	20.48791882
Gstp1	43.13499995	52.53400303	57.6265813	73.2353459	63.30964832	44.74221317	40.26198928	51.6499527	69.2537833	67.47130883
Gstp2	24.7896452	7.122598517	5.866643858	17.67680662	16.40225092	21.92929853	6.551515333	8.4441713	11.35754423	13.35481906
Gstp3	2.300936217	0	0.105580908	0.3718165	0.000715	0.308990383	0	0.215560708	0.00155065	0.007057617
Gstt1	3.30926205	0.9012103	1.427711283	0.51098365	1.184577317	2.850976717	0.431207817	0.001723592	0.090818533	0.8175899
Gstt2	9.481456767	5.319827483	1.627309817	2.220699433	2.567397367	9.3797414	4.568788967	1.118739083	1.991588133	1.9687916
Gstt3	3.742157333	3.151198883	1.722498667	1.3044914	1.03717155	1.981629417	1.171675833	0.338066867	0.361787292	0.325513433
Gstz1	7.534500233	19.31936015	12.50806703	19.06603528	18.2152728	7.116005983	12.20499905	13.69915233	18.07926927	19.88572372
Gt(ROSA)26Sor	4.736388667	2.797460533	3.95298515	4.570416167	4.686155317	5.620115183	3.29460725	4.978535217	5.65388385	6.269363983
Gtdc1	4.957963483	9.73766915	6.1802914	9.2048539	8.486843883	6.894007317	14.66276413	15.24084968	19.32145008	18.06857415
Gtf2a1	17.14960368	17.36723837	13.22110705	14.09828268	16.46369468	23.14655338	24.23158682	14.20894092	17.38892283	21.55903608
Gtf2a2	37.35165415	37.64001113	21.67290528	25.77595995	36.84021847	37.28706177	34.67071508	23.54401582	32.6845146	45.2331122
Gtf2b	33.97971455	28.25388183	37.78516063	41.04905847	44.63196487	27.20307793	31.00532203	36.15005843	38.08530553	44.41618217
Gtf2e1	33.10220732	19.72055828	19.65380887	19.93554897	19.46944778	28.83259367	20.2637157	19.72139845	18.65452138	19.3109162
Gtf2e2	62.33739712	72.44434013	68.80342665	67.66602683	54.58386625	62.86521148	62.67677617	72.67386005	70.71674782	67.35511557
Gtf2f1	56.24664742	30.72426083	44.13696485	56.81558968	65.78677327	47.61576313	32.07169223	36.91992633	48.77285623	66.10579463
Gtf2f2	32.10082333	34.0506116	24.06606208	33.1024691	35.499438	31.63902985	29.28701228	20.56535025	26.42322142	33.18774095
