gene,Sp1hyp_ES_fpkm,Sp1hyp_Flk_fpkm,Sp1hyp_HE1_fpkm,Sp1hyp_HE2_fpkm,Sp1hyp_prog_fpkm
Rc3h2,20.51921708,17.75604228,19.66410335,16.009401,14.88723285
Rcan1,12.22898103,13.77458743,23.9643141,15.79346982,8.41733075
Rcan3,5.067340767,1.524931917,6.246143067,2.390526433,1.066648617
Rcbtb1,31.53855888,42.64441027,38.26605583,36.53952253,16.3944484
Rcbtb2,6.675230567,25.68591793,39.0302274,54.8775799,51.21018238
Rcc1,60.23828672,53.43393872,27.35677228,37.6836033,37.4241719
Rcc1l,11.96093207,12.21764468,8.37261965,10.84928813,10.12192952
Rcc2,136.011583,86.02643398,67.93314745,139.5590433,168.8338848
Rccd1,8.972378917,7.041716133,3.161826267,5.6250085,6.864187433
Rce1,16.6589346,21.08513055,13.98326783,13.27200052,11.79669325
Rchy1,18.41890445,10.74436032,13.53245245,11.45158203,15.47102282
Rcl1,39.890331,32.12014595,19.13290303,25.25843408,35.66007843
Rcn1,5.716643333,49.43805527,71.00282827,61.63316657,50.73973318
Rcn2,16.68224633,33.08170772,40.6023777,30.32413027,15.75903797
Rcn3,28.75279833,32.57734392,63.59238788,28.17068605,10.5391847
Rcor1,12.33889838,21.68249432,27.53257538,30.76014187,31.50223888
Rcor2,34.41569227,45.54099093,2.767408817,5.758229783,6.534401683
Rcor3,0.558166467,5.005744283,6.581997717,3.772723983,4.4903808
Rcsd1,0.102096033,0.6249375,13.96679817,7.105148167,3.266938
Rcvrn,0,0,0.582038067,0.5699744,2.01672625
Rdh10,2.698281767,3.180025333,5.776705083,4.74867185,4.605106233
Rdh11,17.97342745,36.99385828,17.73756283,18.55427795,19.00136525
Rdh13,10.0886416,11.72343173,7.375753567,7.292609817,8.43970175
Rdh14,1.471166067,3.545446667,3.126328083,4.288015517,5.020726133
Rdh5,0.854368767,1.500217683,2.566645333,1.7759295,1.970968567
Rdm1,14.18089823,10.5516922,3.1253364,4.636970967,3.931671467
Rdx,52.11483227,117.3975017,97.58222083,97.0429133,96.99378913
Rec114,6.0814265,1.135456567,1.602728883,1.492255333,3.68646015
Rec8,4.7769785,1.0880324,0.2468794,1.147845283,1.580777167
Reck,2.923537583,12.78912613,10.8437338,6.131829967,3.003393983
Recql,13.03081215,11.85107388,11.38734607,13.1049827,15.31249917
Recql4,13.50102307,10.4188459,5.003800783,8.714949583,9.428721483
Recql5,8.51514525,6.406113,5.438042533,6.5378688,6.864455417
Reep1,0.327205283,3.187008533,3.822986617,1.7793553,3.128041283
Reep2,2.642898917,2.040671267,2.556236417,1.663065333,2.4113773
Reep3,2.556999067,3.422770483,7.513475033,4.697396967,3.208106867
Reep4,8.250683733,6.062566167,9.721733017,12.08746095,11.39652292
Reep5,3.92078365,13.37103343,21.82006552,12.02947858,16.13834672
Reep6,8.30502815,1.753162267,0.395246617,1.235285083,3.963087867
Rel,0.409937417,1.52664195,1.629668633,1.211120667,1.186729533
Rela,5.9924774,6.58355135,13.92171052,11.96112645,10.43818662
Relb,8.834438667,3.893006667,7.795645267,6.4369684,1.6594709
Rell1,9.853041733,5.083724883,9.660367017,3.620995483,1.31022635
Rell2,0.3748413,0.246427333,0.048273175,0.100728917,0.154259783
Reln,0.013562133,8.895645517,3.94756495,39.88364308,80.7239635
Relt,3.4685872,10.521742,5.23960905,5.6690729,6.414928117
Rem2,1.438547283,1.925365617,0.41284035,0.449380833,0.356860283
Renbp,18.88741302,4.719484167,1.298932767,0.872320808,0.793128233
Rep15,0.3866813,1.822842933,2.9240978,1.77633545,1.1495292
Repin1,3.113034933,6.182571267,6.688745417,8.92729195,6.309529133
Reps1,26.25914522,35.8892826,25.1103494,30.07753547,28.22976593
Reps2,2.656185783,0.252403633,0.080639217,0.087202167,0.32862515
Rer1,42.49790362,48.82838707,53.99768078,45.12450033,43.55649873
Rere,13.62115328,16.61274855,22.88621307,19.80667307,16.11241753
Rerg,0.3353044,0.402367767,0.698350983,0.469787167,0.007057617
Rest,98.49660262,31.5723076,41.67254063,38.60881688,30.0228991
Retsat,5.079083617,4.9208322,6.593400067,6.724143617,6.9523191
Rev1,20.73784712,14.64158815,23.69543583,24.75476847,22.72318343
Rev3l,17.09550733,16.67098498,13.56023172,15.65240238,15.8465481
Rex2,30.5281777,0.801966217,0.97105455,0.723346617,0.653398617
Rexo1,13.4766941,10.4621391,11.67107787,11.48144293,11.54646482
Rexo2,38.7221964,24.49562363,42.36524002,39.28311483,46.864595
Rexo4,25.51706977,23.9770828,21.23194698,22.72420443,24.58076548
Rfc1,51.20028943,53.24266462,31.74460418,37.33226312,43.17993223
