gene,E14_ES_fpkm,E14_flk_fpkm,E14_HE1_fpkm,E14_HE2_fpkm,E14_prog_fpkm
Dmrtb1,0.14466335,0,0.024701017,0.0003658,0.000715
Dmrtc1c1,1.010221,0,0.000444875,0.0003658,0.000715
Dmtf1,33.45161078,30.93870788,16.60149102,16.63508525,19.14401982
Dmtn,12.30893462,0.54694635,1.960882767,1.033205983,3.336186783
Dmwd,14.29320487,24.33992347,22.78573358,10.11008732,6.74064655
Dmxl1,20.83067545,14.79063808,14.45694232,18.44499587,14.68668298
Dmxl2,6.81855695,3.8704012,2.808889983,3.08921225,5.429989633
Dna2,22.535572,12.3487743,9.133495217,21.63042238,31.0031956
Dnaaf2,8.61905565,9.9517758,4.407144133,6.88568275,7.60012095
Dnaaf3,1.87985845,0.5270873,0.171732283,0.118736933,0.167828533
Dnaaf5,12.25155313,9.601607833,6.603741283,8.583951433,11.80142345
Dnah2,0.106187333,1.024218017,0.0318785,0.016102517,0.034981733
Dnah7b,0.02200695,0.35395355,0.320618,0.469876467,0.212198
Dnah8,6.863765783,1.0571822,0.776041267,0.285882467,0.3532912
Dnaic1,0.216328117,0,0.233593983,0.648413833,0.390566667
Dnaja1,81.99946822,60.94569795,71.20779992,73.25479158,70.32473367
Dnaja2,99.02598827,93.39764678,89.09260877,101.8522333,97.26236072
Dnaja3,41.50005532,26.18844147,18.22285908,26.23098453,27.38981928
Dnaja4,0.69985625,1.97561635,1.779727433,1.9639539,2.294835833
Dnajb1,24.80510023,26.44204418,30.51342545,32.53631472,32.23194993
Dnajb11,34.99291225,21.09272093,58.03183145,48.80303802,41.83440948
Dnajb12,16.33998053,18.76660017,27.52904522,26.474705,24.29471435
Dnajb13,0.804468883,0.048233267,0.175908833,0.046761233,0.6148885
Dnajb14,2.845166683,7.24724395,7.836469683,9.695677733,10.93424163
Dnajb2,3.2739306,4.185589817,3.400081683,2.4943924,5.70135245
Dnajb3,0.23367285,0.190221,0.43526175,0.19242,0.706277233
Dnajb4,2.302342117,7.34005155,7.018008483,11.9256037,8.8993478
Dnajb5,4.028945717,1.729216383,5.4670051,2.548661967,1.47028625
Dnajb6,101.9674141,59.84748702,76.26878618,80.98337007,68.485162
Dnajb7,0.577679383,0.7413172,0.254294767,0.287954817,0.441749783
Dnajb9,8.796776767,5.819448267,10.50069248,9.851791283,8.383149817
Dnajc1,4.383438483,7.32620545,8.825644667,9.301556967,11.04316382
Dnajc10,31.04959078,41.70793117,49.24178777,31.39618717,23.95148463
Dnajc11,44.81187778,37.86916248,29.85935243,37.81802842,43.43561512
Dnajc12,5.132456833,4.070730567,5.765149383,6.235695317,5.506679833
Dnajc13,40.41132722,24.08107035,31.19142617,27.61609387,24.82137417
Dnajc14,14.07009567,16.71657732,19.8669647,17.37928635,15.22462923
Dnajc15,24.39766817,26.04324552,21.8763329,29.89053067,30.57777933
Dnajc16,4.8325144,4.305902233,6.282706467,5.457599833,5.095556567
Dnajc17,10.77349395,9.43987305,6.493402617,8.893069317,11.00367618
Dnajc18,4.6583522,6.561938183,9.928920133,10.40342745,6.7440471
Dnajc19,26.877372,20.19033057,17.7877436,25.43575523,25.27252083
Dnajc2,81.9042013,59.91125605,48.3063364,60.43070353,65.50158515
Dnajc21,79.00463188,16.86659857,15.1455534,17.38269057,20.52863105
Dnajc22,3.234591333,1.538890267,0.207555117,0.172195083,0.033170225
Dnajc24,8.777002,9.193552817,7.2424929,9.244067467,8.739485983
Dnajc25,3.026475567,2.727344067,4.69181135,4.2553284,4.381582867
Dnajc27,7.4981364,5.450758783,2.188345667,2.877454433,3.624707217
Dnajc28,1.20116735,1.392669567,0.564744417,1.400748733,1.291638633
Dnajc3,10.60698432,11.85383563,34.80966873,26.18239595,19.40821955
Dnajc30,4.02723845,5.932078983,5.825535183,7.20386,7.8191503
Dnajc4,4.182122,4.565349917,3.425888817,3.837872183,4.096305067
Dnajc5,26.42882702,31.83673728,38.98238683,38.1840175,36.00014127
Dnajc6,9.03312115,0.033073717,0.012869792,0.0003658,0.018890875
Dnajc7,82.41179553,52.5145652,48.39969933,53.35645463,56.56453105
Dnajc8,119.9391877,102.0609278,85.47176557,88.22631967,94.63996197
Dnajc9,37.3525943,55.53525983,39.68488153,54.78175003,59.97520818
Dnal1,1.329616,2.3087725,2.58223715,2.242315717,2.034591967
Dnal4,7.204954233,8.712081383,9.370042733,10.80390452,11.49880427
Dnali1,0.425169733,0.613243617,0.361333133,0.535137717,0.783301833
Dnase1,2.902645233,2.20854635,1.111341083,2.356579167,3.2876285
Dnase1l1,1.222116967,2.502411583,3.047067567,2.596713933,3.695591667
Dnase1l2,0.130219867,0.795023417,0.255500533,0.4195894,0.534407167
Dnase1l3,0.079032733,0.015172567,1.068120883,0.226163783,0.074320858
Dnase2a,7.8570293,3.986595383,3.91715805,3.749931167,7.769336333
Dnd1,5.340614367,2.23741935,0.56569495,0.928790783,1.33009615
Dnlz,2.167536233,3.877302083,5.5740678,7.347771767,6.723070967
Dnm1,0.7643634,1.1076991,0.216804983,0.0900212,0.35858325
Dnm1l,62.22881583,49.87788293,38.66792373,44.46392623,46.5567111
Dnm2,20.7180399,13.78829008,40.56450465,34.3813835,39.23325182
Dnmbp,9.047447567,6.8324917,11.90850133,8.021566083,5.2642376
Dnmt1,84.63663502,95.44472003,69.65330642,94.64737515,123.2374495
Dnmt3a,19.79006102,13.99713288,12.71279485,14.26856762,12.06939297
Dnmt3b,100.7654152,51.39585332,10.76871218,41.08730645,49.91168812
Dnmt3l,134.3277136,0.816981,0.000444875,0.0003658,0.000715
Dnpep,29.47632212,33.25589302,54.90072272,41.94931847,32.03263782
Dnph1,20.30810865,19.95905897,4.466132833,10.34455008,12.9503821
Dnttip1,11.79963135,16.84459813,17.0000263,17.51003333,16.81519488
Dnttip2,96.16700752,59.27639193,41.3555338,49.9724371,51.7446304
Doc2a,9.267262617,4.462071567,4.601309783,4.800974917,6.1752162
Doc2g,0.748469783,3.807433317,0.863884867,1.0511693,1.196117117
Dock1,20.52897177,36.82115383,37.11691888,31.77862553,16.6508998
Dock10,0.007067083,0.075388133,0.991267333,0.733998033,2.170745083
Dock11,10.69094812,28.00280777,13.20630277,9.606816367,7.659319033
Dock2,0.71284925,0.03043135,0.000444875,0.63690165,3.757016867
